x1,x2,x3,x4,x5
0.04596012,0.6245894,0.18014023,0.9118095,0.65272826
0.8013136,0.6568863,0.7690106,0.26577282,0.3647373
0.0779595,0.53502226,0.4538033,0.09724008,0.43224096
0.060668185,0.11036027,0.8703369,0.18867928,0.07791999
0.4439166,0.41280174,0.52354646,0.0005869506,0.012187451
0.9846537,0.08617768,0.15702513,0.58202916,0.6382422
0.77866036,0.73205745,0.9130487,0.3928974,0.4234913
0.13747045,0.59956455,0.19072749,0.300015,0.11431766
0.4949334,0.9111484,0.38283896,0.83720005,0.87748635
0.9646687,0.5868892,0.93439007,0.17810091,0.70040673
0.643972,0.45970246,0.8832082,0.11314631,0.16206673
0.40591416,0.83979654,0.942352,0.0843139,0.8286922
0.78002673,0.74333376,0.6897655,0.50171924,0.6348502
0.4504823,0.7753646,0.26743844,0.8447823,0.626313
0.27083603,0.7605848,0.3893813,0.025038067,0.78459233
0.42318603,0.46050292,0.3974841,0.115863636,0.6035297
0.36203295,0.52568364,0.967552,0.40179133,0.23271693
0.15869717,0.22758721,0.15522128,0.5675792,0.8323047
0.2728253,0.98473364,0.96839327,0.6597601,0.94366723
0.21970858,0.2416188,0.9087505,0.2547808,0.120876044
0.7765017,0.98243773,0.84757185,0.92484605,0.76759326
0.99569607,0.46966907,0.586957,0.4794979,0.014665167
0.66243297,0.11024211,0.20971574,0.5586103,0.64951295
0.7400136,0.7125602,0.44263893,0.6619259,0.50951284
0.5661246,0.43906263,0.9556992,0.8304378,0.5013113
0.9584775,0.70606774,0.16157341,0.70220727,0.3658429
0.8166067,0.85001665,0.5415585,0.78632814,0.5478131
0.4812593,0.37788767,0.8497672,0.40255085,0.4464407
0.83721596,0.28101555,0.7065993,0.049193814,0.36635274
0.36166346,0.57442427,0.5544746,0.61211675,0.80849534
0.6301419,0.034913942,0.5524121,0.75959504,0.81632084
0.42020696,0.17776534,0.15454528,0.4727901,0.5913448
0.1672953,0.50737375,0.25306746,0.34784082,0.39598784
0.43907708,0.4629621,0.63966835,0.21960317,0.45008788
0.7761145,0.6560855,0.9506405,0.26548132,0.9736573
0.7008136,0.97641736,0.44298762,0.77970463,0.11127161
0.9317383,0.9142771,0.77316886,0.48841596,0.36043394
0.5804876,0.6720451,0.34557065,0.86494625,0.7772142
0.57222354,0.807834,0.6117687,0.34849748,0.42373908
0.38020742,0.106150486,0.18070635,0.27118358,0.90496564
0.7851743,0.97658503,0.35798547,0.6858056,0.82763815
0.016952574,0.6031696,0.73217493,0.84611505,0.22378181
0.58061385,0.3076373,0.30800587,0.6467693,0.40723306
0.41698992,0.741492,0.59065604,0.3181527,0.18059008
0.7908879,0.8571859,0.44636947,0.32925445,0.97661406
0.4457075,0.07982906,0.2597784,0.69156444,0.5748596
0.76860666,0.8079617,0.06638725,0.7023598,0.43319547
0.60363925,0.7300564,0.16377524,0.008551054,0.46057636
0.9594135,0.0027984222,0.44905195,0.7603186,0.6468777
0.09599115,0.893273,0.5814996,0.30750284,0.54643625
0.55050653,0.74350005,0.95859736,0.19492708,0.679064
0.979763,0.2308227,0.5512558,0.01359384,0.78771824
0.77992,0.14396878,0.8889588,0.845476,0.34524682
0.43648884,0.8978316,0.73821265,0.9629347,0.44862866
0.0915856,0.8047395,0.74506664,0.8668629,0.25830835
0.47773442,0.04163219,0.9009851,0.67069185,0.0936954
0.47009528,0.5980416,0.84139806,0.45010492,0.38823366
0.6692356,0.3956154,0.74669904,0.8013834,0.027216664
0.12477763,0.8997741,0.3379683,0.086353056,0.81137216
0.56907165,0.8119127,0.8661535,0.23102796,0.59178776
0.934863,0.73334473,0.23088846,0.57004815,0.6393052
0.9835829,0.7209239,0.25286356,0.35285875,0.25426266
0.5752727,0.34690616,0.47377828,0.8702691,0.36865887
0.7622771,0.63856137,0.7691668,0.8842534,0.8747445
0.86176825,0.47873878,0.4467487,0.22350095,0.683061
0.5030056,0.6017507,0.85721064,0.241499,0.27250716
0.33332017,0.6789007,0.6812502,0.82896894,0.9238557
0.32923743,0.85407794,0.23593336,0.6907734,0.66155964
0.27902037,0.21232629,0.84118825,0.8488654,0.22695601
0.97628516,0.8894795,0.36459973,0.3211669,0.5336369
0.942721,0.22637133,0.9255091,0.1654675,0.17273581
0.53440297,0.37096474,0.41037562,0.1836198,0.10895759
0.045723055,0.9203736,0.12808824,0.5373991,0.6515838
0.052691296,0.8778321,0.8544823,0.5745918,0.5484678
0.5674038,0.19422618,0.953978,0.3724403,0.6073988
0.5700571,0.26254153,0.76830024,0.08371536,0.4608442
0.3411661,0.16330989,0.82728857,0.91151017,0.53141826
0.30933923,0.45876914,0.023476545,0.6099891,0.2141336
0.049961764,0.51617056,0.6285093,0.7136877,0.7507547
0.5154598,0.57457364,0.69194347,0.78827167,0.033522442
0.24321449,0.7502082,0.12502165,0.0723465,0.12063094
0.34646744,0.7194436,0.23377125,0.14265086,0.7589369
0.113730945,0.41342792,0.60456866,0.5928199,0.5599256
0.09069599,0.5938878,0.34059787,0.78153604,0.29925323
0.8462491,0.97888535,0.060698528,0.37742445,0.5705645
0.6926713,0.84557885,0.14068891,0.2639271,0.1921103
0.041373327,0.13553642,0.18168521,0.8901864,0.75470555
0.92981625,0.1554807,0.4197991,0.9623462,0.31507668
0.26887414,0.24853,0.13497512,0.24396496,0.76866966
0.820024,0.46688747,0.20770705,0.49879634,0.9641145
0.8498679,0.7122529,0.65238774,0.8469531,0.06413215
0.66071236,0.29368365,0.40064126,0.88207996,0.18979985
0.40010035,0.7540184,0.2992665,0.63753814,0.88937014
0.4032501,0.058632966,0.77619666,0.44051585,0.8381433
0.52500725,0.32176712,0.41068438,0.8706711,0.42833033
0.90950495,0.11931419,0.33251962,0.26315433,0.7421413
0.47131434,0.9152702,0.465316,0.82882345,0.24348818
0.03930271,0.795644,0.060652517,0.82690567,0.69713974
0.9199882,0.44337684,0.90815085,0.03681908,0.93202627
0.81580544,0.3644082,0.9573337,0.28700438,0.5541478
